index,tx_id,azimuth,distance_ring,distance_km,num_distance_points,frequency_ghz,time_percentage,polarization,antenna_height_tx_m,antenna_height_rx_m,tx_lat,tx_lon,rx_lat,rx_lon,Lb,Ep,elapsed_s
357,TX_0001,340.0,2.5,2.55,87,0.9,50,1,57.0,10.0,9.345,-13.40694,9.366700741360354,-13.414781310540807,115.83902118357857,82.60582900520795,0.00030370800000056875
358,TX_0001,345.0,2.5,2.55,87,0.9,50,1,57.0,10.0,9.345,-13.40694,9.367296918615885,-13.412847061985298,125.71931958863482,72.7255306001517,0.00029366600000102494
359,TX_0001,350.0,2.5,2.55,87,0.9,50,1,57.0,10.0,9.345,-13.40694,9.367723391086253,-13.410867851069607,128.0915280953007,70.35332209348582,0.0002998749999996164
360,TX_0001,355.0,2.5,2.55,87,0.9,50,1,57.0,10.0,9.345,-13.40694,9.367976912901392,-13.408858743763934,123.35449620962282,75.0903539791637,0.0002906670000015765
361,TX_0001,0.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.372395420373099,-13.406815245075766,101.1152937782795,97.32955641050702,0.00030175000000198793
362,TX_0001,5.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.37228034972736,-13.404411524936089,129.91067675509865,68.53417343368787,0.0002948330000016597
363,TX_0001,10.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.371957643923395,-13.402027056574223,112.11998211070377,86.32486807808274,0.0003115840000020853
364,TX_0001,15.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.371429760197987,-13.399679991184922,106.71951492059063,91.72533526819589,0.0003036670000007291
365,TX_0001,20.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.370700717615676,-13.397388194922424,129.8154477329684,68.62940245581811,0.0003162080000009837
366,TX_0001,25.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.369776066433852,-13.395169112819259,124.88258150697654,73.56226868180998,0.0002993749999973261
367,TX_0001,30.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.36866284580679,-13.393039635925073,129.75785189718226,68.68699829160425,0.0002957919999992953
368,TX_0001,35.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.367369530152176,-13.3910159726795,129.7770890344007,68.66776115438583,0.000307834000000895
369,TX_0001,40.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.36590596459033,-13.389113525500328,130.68224424577102,67.7626059430155,0.00029862500000277237
370,TX_0001,45.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.364283289949324,-13.387346773527913,129.79628738579956,68.64856280298696,0.000289874999999995
371,TX_0001,50.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.362513857908974,-13.38572916241925,129.82354464048288,68.62130554830364,0.0003033750000014379
372,TX_0001,55.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.360611136931519,-13.384273002030723,129.79628688977905,68.64856329900746,0.00029237500000078853
373,TX_0001,60.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.358589609696963,-13.382989372767875,101.115133473059,97.32971671572751,0.0002957079999994505
374,TX_0001,65.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.356464662825505,-13.381888041313779,121.38544877175663,77.05940141702989,0.0003062080000013623
375,TX_0001,70.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.354252469728115,-13.380977386375612,130.28375907756345,68.16109111122307,0.00029612500000197883
376,TX_0001,75.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.351969867478198,-13.380264335012187,101.11453712352177,97.33031306526475,0.00031587499999830015
377,TX_0001,80.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349634228642687,-13.379754310024085,101.11503132859326,97.32981886019326,0.0003053749999999411
378,TX_0001,85.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347263329048824,-13.37945118880341,102.93237923692968,95.51247095185684,0.0003033750000014379
379,TX_0001,90.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344875212493518,-13.379357273952696,111.15255702398194,87.29229316480458,0.00031579199999853813
380,TX_0001,95.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342488053425088,-13.379473275892591,112.89682391747459,85.54802627131193,0.000309000000001447
381,TX_0001,100.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340120018642217,-13.379798307586713,109.36102703730633,89.08382315148019,0.000310083999998767
382,TX_0001,105.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.33778912906221,-13.380329891419782,116.40504726409146,82.03980292469505,0.0003265419999998187
